ST	penA	mtrR	porB	ponA	gyrA	parC	23S	NG-STAR_CC
263	12.001	19	8	4	1	3	100	26
264	5.002	1	3	1	1	3	100	127
265	43.002	1	12	1	7	6	100	345
266	22.001	18	4	1	100	1	100	3117
267	5.002	1	100	1	1	3	100	127
268	19.001	38	13	1	7	20	100	309
269	14.001	10	13	100	100	2	100	352
270	14.001	29	8	100	100	7	2	178
271	19.001	47	14	1	7	17	100	433
272	4.001	18	100	1	100	7	100	862
273	2.002	1	100	1	7	2	100	2657
274	2.001	9	3	100	100	100	2	301
275	2.002	19	8	100	1	18	2	2209
276	2.001	19	11	1	5	2	100	15
277	5.002	19	12	1	2	3	100	1148
278	2.002	1	11	1	5	2	100	279
279	2.002	1	8	1	100	2	100	442
280	10.001	19	9	1	5	2	100	15
281	4.001	25	8	1	5	4	100	6234
282	2.002	1	8	1	5	2	100	2657
283	9.001	1	8	1	1	2	100	127
284	9.001	1	12	1	1	10	100	958
285	19.001	10	8	100	1	2	100	1154
286	19.001	10	3	100	1	2	100	7301
287	2.002	19	1	1	100	1	100	104
288	14.001	10	14	100	100	7	100	352
289	14.001	10	13	100	100	7	100	352
290	2.001	5	13	100	100	100	100	63
291	5.002	19	1	1	1	3	100	127
292	14.001	5	100	100	100	7	100	352
293	22.001	9	3	100	100	2	100	301
294	1.001	5	100	100	100	1	8	20
295	100.001	18	14	100	100	1	8	17
296	19.001	25	3	1	100	2	100	395
297	2.001	5	100	100	100	2	100	1400
298	19.001	25	5	100	100	2	100	370
299	22.001	50	3	100	100	1	100	239
300	2.001	15	4	1	100	1	100	2047
301	2.001	9	3	100	100	100	100	301
302	2.001	25	100	100	100	100	100	845
303	34.001	1	100	1	1	3	100	90
304	2.002	1	12	1	7	6	100	1143
305	2.002	38	8	1	7	15	100	309
306	100.001	18	100	100	100	100	100	17
307	15.001	3	1	100	100	2	100	1400
308	2.002	10	14	100	100	2	100	1958
309	19.001	38	100	1	7	15	100	309
310	12.001	1	12	4	1	3	100	26
311	12.001	35	8	1	100	7	100	311
312	2.002	19	8	1	1	9	100	38
313	12.001	16	8	1	5	1	100	334
314	2.001	1	100	100	100	2	100	442
315	12.001	1	8	100	100	1	100	Ungroupable
316	2.002	1	14	100	100	1	100	1458
317	5.002	36	8	1	7	15	100	1816
318	2.001	19	8	1	2	2	100	3564
319	10.001	1	11	1	1	3	100	90
320	7.001	25	8	1	2	5	100	348
321	10.001	19	11	1	2	5	100	348
322	9.001	1	13	1	1	2	100	958
323	4.001	1	8	1	2	10	100	Ungroupable
324	19.001	25	14	1	2	10	100	2467
325	9.001	1	11	1	1	2	100	3035
326	4.001	25	100	1	2	10	100	5148
327	4.001	1	8	1	2	9	2	Ungroupable
328	15.001	19	8	1	100	2	100	139
329	10.001	19	1	1	2	5	100	348
330	10.001	19	8	1	5	5	100	348
331	4.001	22	8	1	100	1	100	104
332	7.001	25	8	1	5	2	100	6234
333	19.001	9	12	1	7	15	100	309
334	2.001	1	8	1	5	1	100	409
335	5.002	1	8	1	1	6	100	127
336	12.001	5	4	1	100	7	100	4128
337	2.002	48	100	100	1	18	100	2209
338	2.001	19	13	1	100	100	100	829
339	2.001	18	100	100	100	2	100	1958
340	14.001	29	1	100	100	2	100	178
341	4.001	1	8	1	100	2	100	3035
342	19.001	10	14	100	100	1	100	1645
343	22.001	5	14	100	100	2	100	190
344	9.001	1	3	1	1	2	100	3035
345	43.002	1	8	1	7	3	100	199
346	18.001	1	12	1	7	3	100	199
347	9.001	1	8	1	7	3	100	199
348	10.001	33	8	1	2	5	100	348
349	22.001	10	14	1	100	1	100	7004
350	14.001	1	13	100	100	2	100	520
351	2.002	18	14	1	100	1	100	2036
352	14.001	10	100	100	100	7	100	352
353	19.001	10	3	100	100	7	100	352
354	19.001	10	8	100	100	7	100	468
355	2.002	18	3	100	100	100	100	893
356	2.001	10	100	100	1	18	100	1271
357	14.001	10	14	100	100	2	100	352
358	2.001	10	3	100	1	18	100	4825
359	2.002	10	14	100	100	100	100	2035
360	2.001	35	3	100	1	18	100	4763
361	4.001	18	14	100	100	1	100	17
362	14.001	18	3	100	100	2	100	520
363	12.001	18	8	1	100	7	100	311
364	22.001	25	4	100	100	2	100	190
365	15.001	5	1	100	100	2	100	1400
366	22.001	19	5	1	100	2	100	1115
367	1.002	25	4	100	100	2	100	190
368	2.002	19	8	1	100	1	100	104
369	100.001	5	3	100	100	2	100	867
370	19.001	25	13	100	100	2	100	3043
371	22.001	5	100	100	6	1	100	20
372	9.001	25	6	1	100	2	100	3043
373	9.001	25	8	1	100	2	100	3035
374	22.001	11	14	100	100	2	100	190
375	9.001	25	9	1	100	2	100	142
376	19.001	25	4	1	3	2	100	3036
377	9.001	1	8	1	1	3	100	127
378	1.001	25	4	100	100	2	100	190
379	5.002	1	7	1	1	3	100	127
380	7.001	25	100	1	5	2	100	6234
381	5.002	2	3	1	1	3	100	127
382	2.001	9	4	100	100	100	100	63
383	22.001	25	1	100	1	1	100	239
384	14.001	10	100	100	100	1	100	352
385	5.002	18	3	1	1	3	100	127
386	5.002	5	1	1	1	3	100	127
387	5.002	15	100	1	1	3	100	127
388	22.001	25	4	100	100	1	100	190
389	5.002	38	1	1	7	15	100	309
390	22.001	25	1	100	100	2	100	190
391	15.001	18	3	100	100	2	100	893
392	9.001	9	1	100	100	100	100	63
393	22.001	5	3	100	100	2	100	190
394	2.001	25	14	100	100	100	100	63
395	9.001	1	3	1	100	2	100	3035
396	5.002	1	3	1	1	3	2	127
397	35.001	1	1	1	1	3	100	90
398	2.001	1	3	100	100	100	2	182
399	22.001	25	1	100	100	1	2	239
400	2.001	1	100	1	100	2	2	442
401	2.002	1	8	1	1	3	100	127
402	19.001	50	100	100	100	2	100	893
403	5.002	2	100	1	1	3	100	127
404	5.002	1	10	1	1	3	100	127
405	22.001	18	14	100	100	2	100	1449
406	100.001	45	100	100	100	1	100	20
407	2.002	1	8	100	100	2	100	1958
408	12.001	1	1	4	1	3	100	26
409	2.001	1	8	1	1	3	100	127
410	14.001	29	100	100	100	7	100	352
411	2.001	1	1	1	1	3	100	127
412	22.001	9	11	100	100	100	100	63
413	2.001	9	5	100	100	100	100	63
414	22.001	25	1	100	100	100	100	63
415	2.001	9	3	1	100	100	2	301
416	2.002	19	3	1	7	3	100	73
417	2.001	39	11	100	100	100	2	213
418	2.002	11	100	100	100	2	2	1958
419	44.001	16	1	1	1	10	100	158
420	2.002	1	8	1	7	2	100	199
421	12.001	1	8	1	1	3	1	127
422	100.001	18	100	100	100	2	100	1958
423	14.001	24	1	100	100	7	100	178
424	22.001	15	100	100	100	7	6	84
425	19.001	25	12	1	7	20	100	3311
426	2.002	40	13	100	7	4	100	426
427	2.002	40	100	100	7	4	100	427
428	18.001	1	8	1	7	3	100	199
429	2.001	9	11	100	7	100	100	63
430	2.002	19	100	1	7	3	100	73
431	14.001	18	14	100	7	18	100	1662
432	14.001	1	1	1	100	2	100	442
433	19.001	47	3	1	7	17	100	433
434	14.001	50	1	100	100	7	100	178
435	14.002	29	10	100	100	7	100	178
436	2.002	40	100	100	7	3	100	436
437	12.001	35	3	1	2	3	100	209
438	2.001	25	8	100	1	4	100	3472
439	2.001	9	1	100	100	1	100	63
440	2.001	50	1	100	100	100	100	63
441	9.001	25	11	100	100	2	100	3043
442	2.001	1	1	1	100	2	100	442
443	12.001	1	12	1	1	3	100	127
444	34.002	1	14	1	1	17	100	97
445	18.001	10	100	1	7	20	100	455
446	2.006	19	5	1	100	2	100	1115
447	2.001	9	8	1	100	100	100	63
448	1.001	15	100	100	100	7	100	352
449	19.001	18	13	1	7	2	100	1632
450	2.001	9	1	1	100	100	100	63
451	2.002	19	3	1	100	2	100	2657
452	13.001	19	11	1	1	9	100	38
453	2.001	9	11	100	100	1	100	63
454	34.001	9	1	100	100	100	100	63
455	19.001	10	100	1	7	15	100	309
456	15.002	3	1	100	100	2	100	307
457	12.004	1	1	1	1	3	100	127
458	18.001	1	100	1	7	3	100	199
459	34.001	3	11	1	1	3	100	90
460	15.001	1	1	1	100	2	100	442
461	2.001	25	1	100	100	2	100	63
462	12.001	1	100	1	1	3	100	127
463	14.001	10	100	100	100	2	100	352
464	2.002	18	100	100	1	18	100	2209
465	2.001	1	100	1	100	2	100	442
466	2.002	10	14	100	100	1	100	42
467	2.001	9	13	100	100	100	100	63
468	14.001	10	3	100	100	7	100	352
469	2.006	10	100	100	100	1	100	352
470	2.002	1	8	1	7	3	100	199
471	4.001	25	1	1	5	2	100	142
472	22.001	10	14	1	100	2	100	7004
473	22.001	25	1	1	100	1	100	239
474	19.001	15	11	1	100	7	100	Ungroupable
475	2.001	15	1	100	100	1	100	63
476	2.001	16	1	1	1	10	100	158
477	5.002	1	12	1	1	3	100	127
478	19.001	47	13	1	7	17	100	433
479	2.002	19	3	100	1	18	100	2209
480	44.001	16	3	1	1	10	100	158
481	2.002	25	3	100	100	100	100	301
482	2.001	25	13	100	100	100	100	63
483	2.001	10	13	1	100	1	100	5208
484	10.001	1	3	1	100	7	100	395
485	10.001	1	8	1	2	5	100	348
486	10.001	25	8	1	7	53	100	497
487	10.001	33	11	1	2	5	100	348
488	10.001	33	4	1	2	5	100	348
489	10.001	47	12	1	7	21	100	2351
490	10.001	47	8	1	7	21	100	221
491	12.001	1	9	1	1	3	100	127
492	12.001	16	8	1	2	5	100	348
