ST	penA	mtrR	porB	ponA	gyrA	parC	23S	NG-STAR_CC
4499	13.001	69	8	1	1	177	100	38
4500	34.007	274	11	100	7	4	2	2477
4501	60.001	5	8	1	34	93	100	2473
4502	60.001	25	9	1	34	93	100	Ungroupable
4503	60.001	69	8	1	7	53	2	4504
4504	60.001	69	8	1	7	53	100	233
4505	60.001	69	8	1	34	93	100	2473
4506	60.001	69	9	1	7	53	100	4504
4507	60.001	69	11	1	7	53	100	1133
4508	60.001	517	8	1	7	3	100	199
4509	231.001	5	12	1	7	3	100	1143
4510	232.001	33	8	1	2	5	100	348
4511	15.002	122	100	100	100	100	100	845
6837	13.001	122	12	100	7	6	100	1340
4512	2.002	216	100	100	7	4	100	719
4538	2.062	39	1	100	100	100	100	63
4513	22.017	515	100	100	100	7	100	352
4514	19.001	40	13	100	7	4	6	426
4539	227.001	122	3	1	7	3	100	2148
4515	163.001	18	45	1	1	3	100	Ungroupable
4516	2.001	513	11	100	7	4	100	168
4540	15.001	142	100	100	100	2	6	1400
4517	2.002	511	100	100	7	4	100	719
4518	14.024	130	3	100	100	2	100	520
4541	13.001	19	13	1	7	9	100	38
4519	2.008	261	13	1	7	1	100	1560
4520	2.002	54	14	100	1	3	100	577
4542	200.001	89	3	100	7	4	100	719
4521	15.001	142	100	100	100	2	73	1400
4522	2.001	39	11	100	7	4	72	168
4543	5.002	40	1	1	7	3	2	1615
4523	19.001	5	100	100	7	15	100	309
4544	43.002	122	14	100	7	6	100	1340
4579	2.001	122	100	100	100	100	100	845
4580	2.001	1	1	1	1	45	100	151
4581	5.002	39	1	1	7	3	100	1615
4582	14.001	18	100	100	7	15	100	1308
4583	2.002	60	100	100	100	1	100	1958
4584	9.001	1	12	1	7	22	100	958
4585	2.001	513	100	100	7	4	100	427
4586	228.001	15	100	100	100	7	100	352
4587	14.001	130	14	100	100	2	100	520
4588	14.023	10	100	100	21	26	100	6912
4589	19.001	38	48	1	7	26	100	567
4590	15.001	62	100	100	100	2	74	1400
4591	2.001	1	11	1	100	2	100	442
4592	5.002	22	8	1	34	93	100	2473
4593	15.011	142	100	100	100	2	100	1400
4594	67.004	40	3	100	7	3	100	436
4595	2.001	506	3	100	7	4	100	168
4596	5.002	122	12	1	7	3	100	1387
4597	2.002	9	100	100	100	100	100	845
4598	2.002	54	13	100	1	3	100	6945
4599	229.001	33	37	1	2	5	100	348
4600	2.001	9	3	100	100	6	100	301
4601	43.002	9	1	100	7	6	100	1340
4602	10.001	25	12	1	7	5	100	25
4603	2.002	139	3	1	7	3	100	73
4604	2.001	9	1	100	100	6	100	63
4605	2.001	1	1	1	14	2	100	442
4606	2.001	506	11	100	7	4	100	168
4607	19.001	54	13	1	7	22	100	2069
4608	34.007	284	100	100	7	4	100	1124
4609	43.002	122	100	100	7	100	100	1340
4610	12.001	10	21	1	100	7	100	311
4611	2.001	1	8	100	100	100	100	63
4612	5.017	40	1	1	7	3	100	1615
4613	2.001	39	11	100	1	3	58	2934
4614	14.001	10	100	1	1	22	100	1271
4615	44.001	16	100	1	1	10	12	158
4616	13.001	19	1	1	7	24	100	1011
4617	2.001	9	4	100	100	1	100	63
4618	2.061	39	100	100	100	100	100	213
4619	15.001	508	100	100	100	2	100	1958
4620	230.001	69	100	1	1	3	100	267
4621	34.007	305	3	100	7	4	100	1124
4622	12.001	124	100	100	7	4	6	2538
4623	2.001	505	1	1	100	2	100	442
4628	2.001	9	14	100	7	3	100	1818
4629	2.002	174	14	100	1	84	100	Ungroupable
4630	2.002	252	19	100	7	4	6	6961
4631	2.008	131	13	1	2	20	100	2599
4632	14.001	58	14	100	7	20	100	1662
4633	19.001	10	100	1	7	55	100	309
4634	19.001	89	14	100	1	20	100	715
4664	14.001	15	1	100	100	1	6	2053
4666	14.002	442	6	100	100	7	6	1061
4667	2.001	5	14	1	100	2	100	442
4668	14.001	512	3	100	100	7	100	352
4669	166.001	40	100	100	7	26	100	63
4665	34.001	10	1	1	1	3	100	90
4670	14.001	473	13	1	7	22	100	1586
4671	14.001	497	100	100	1	22	100	1271
4672	14.022	495	13	100	1	22	100	3574
4673	14.001	460	100	100	1	80	100	1362
4674	14.001	503	100	1	1	49	100	1054
4675	14.001	462	3	100	1	22	100	4742
4676	11.001	10	100	1	1	49	100	1054
4677	19.001	135	12	1	7	55	100	247
4678	14.001	76	13	1	7	103	100	1586
4679	14.001	10	100	1	7	22	100	1362
4680	159.001	332	3	1	1	49	100	6366
4681	9.001	336	13	1	7	7	100	1586
4682	2.002	18	100	100	1	10	100	896
4683	14.001	54	100	1	7	22	100	1603
4684	2.001	25	100	1	1	22	100	4825
4685	14.001	10	100	100	2	10	100	352
4686	2.001	54	13	100	1	3	100	3574
4687	2.002	18	100	1	1	10	100	1627
4688	14.001	18	3	1	1	22	100	4614
4689	14.001	57	100	1	7	49	100	4679
4690	22.001	54	100	1	1	49	100	1054
4691	159.001	10	3	1	1	22	100	4614
4692	14.001	10	3	1	7	7	100	1586
4693	9.001	10	19	1	7	49	100	1054
4694	2.001	5	100	100	1	49	100	3380
4695	14.001	18	100	1	100	2	100	432
4696	14.001	57	19	100	1	22	100	1362
4697	2.001	57	14	100	1	22	100	3574
4698	14.001	57	14	100	1	49	100	1890
4699	14.001	57	13	100	1	22	100	3574
4700	159.001	10	14	1	1	22	100	1890
4701	2.001	5	14	100	1	22	100	4825
4702	22.001	76	100	1	14	2	100	1115
4703	14.001	10	100	100	7	7	100	352
4704	14.001	18	100	100	1	2	100	893
4705	159.001	163	3	1	1	22	100	6366
4706	14.001	10	14	1	7	22	100	1586
4707	2.001	5	13	100	1	49	100	4713
4708	14.001	1	13	100	1	22	100	1362
4709	14.001	54	14	100	7	22	100	1890
4710	2.001	135	8	100	1	4	100	3472
4711	2.001	5	100	1	1	4	100	1627
4712	2.002	54	3	100	1	3	100	577
4713	2.001	5	13	100	1	10	100	4713
4714	22.001	163	100	1	1	49	100	1054
4715	2.002	10	100	100	1	80	100	1271
4716	9.001	10	13	1	1	55	100	958
4717	14.001	10	61	100	2	10	100	352
4718	22.001	10	100	1	1	49	100	1054
4719	2.001	39	11	100	61	100	1	193
4720	12.001	35	8	1	2	49	100	311
4721	14.001	10	19	100	1	22	100	1271
4722	14.001	18	13	1	7	22	100	1586
4723	14.001	69	100	100	1	22	100	1271
4724	2.001	293	100	100	1	22	100	1271
4725	2.001	25	14	1	1	22	100	6804
4726	22.001	10	100	1	7	49	100	1054
4727	19.001	279	100	1	7	15	100	309
4728	2.001	171	13	100	1	90	100	6857
4729	19.001	135	3	1	7	55	100	248
4730	14.001	57	14	100	1	22	100	1362
4731	2.001	163	14	100	1	22	100	4825
4732	2.002	135	37	100	1	3	100	229
4733	14.001	10	13	100	7	22	100	1586
4734	14.001	332	100	1	1	49	100	1054
4735	14.001	277	13	100	1	4	100	5508
7035	43.002	774	100	100	7	6	100	1340
4736	14.001	10	13	1	1	22	100	1586
4737	2.002	10	100	100	1	49	100	1271
4738	2.002	163	3	100	7	22	100	719
4739	2.001	10	100	100	7	22	100	1271
4740	14.001	65	13	100	1	22	100	1362
4741	2.002	18	13	1	7	4	100	426
4742	14.001	57	3	100	1	22	100	1362
4743	14.001	10	14	1	1	22	100	1362
4744	22.001	69	42	1	1	49	100	4718
4745	14.015	10	14	100	1	22	100	1362
4746	9.001	69	14	1	1	22	100	958
4747	14.001	5	14	100	1	10	100	1890
4748	14.001	57	100	1	7	22	100	1603
4749	159.001	332	3	1	1	22	100	4749
4750	2.001	163	19	100	1	22	100	3574
4751	2.002	18	13	1	2	10	100	Ungroupable
4752	2.001	100	100	1	10	100	100	3567
4753	2.002	18	13	1	1	4	100	1627
4754	2.001	57	3	100	1	22	100	3574
4755	14.001	10	13	100	1	22	100	1271
4756	14.001	10	13	1	7	103	100	1586
4757	9.001	10	100	100	7	103	100	4757
4758	2.002	18	100	1	1	4	100	1771
4759	2.001	163	3	100	1	22	100	3574
4760	14.001	332	3	1	1	49	100	3456
4761	19.001	1	100	1	1	49	100	1054
4762	14.001	10	14	1	1	49	100	1054
4763	2.001	10	3	100	1	22	100	1271
4764	14.001	163	14	100	7	49	100	1662
4765	2.002	10	42	100	1	22	100	1271
4766	2.001	457	13	100	1	22	100	3574
4767	2.001	10	14	100	7	22	100	4825
4768	9.001	10	14	1	7	49	100	1054
4769	159.001	332	14	1	1	22	100	4749
4770	14.001	10	100	100	1	49	100	1362
4771	14.001	465	14	100	1	22	100	1362
4772	2.002	463	100	1	1	4	100	1771
4773	14.020	10	100	100	7	22	100	1367
4774	204.001	10	3	1	7	22	100	3477
4775	9.001	10	100	1	7	174	100	1054
4776	14.001	10	13	1	7	174	100	1586
4777	19.001	467	100	1	7	15	100	309
4778	14.020	10	13	100	7	22	100	5603
4779	9.001	10	100	1	7	172	100	1054
4780	14.001	461	100	100	1	22	2	1362
4781	14.001	10	100	1	7	174	100	4614
4782	14.020	10	100	100	1	22	100	1271
4783	14.020	75	3	100	7	22	100	4773
4784	2.002	467	100	100	1	22	100	1271
4785	2.002	475	100	1	7	7	100	430
4786	19.001	476	100	1	1	49	100	1054
4787	14.001	461	13	1	7	22	100	1586
4788	2.001	479	100	100	1	22	100	1271
4789	22.001	476	13	1	1	49	100	1132
4790	14.001	459	13	1	7	7	100	1586
4791	14.001	458	100	1	1	22	100	3456
4792	14.001	480	13	1	7	22	100	1586
4793	14.020	466	100	100	7	22	100	7397
4794	19.001	493	13	1	1	49	100	1583
4795	2.002	491	100	100	1	22	100	1271
4796	14.001	472	100	100	7	22	100	Ungroupable
4797	14.021	10	14	1	1	49	100	3456
4798	221.001	332	3	1	1	22	100	6366
4799	2.058	18	100	1	1	10	100	1362
4800	14.001	10	100	100	1	22	69	1362
4801	14.001	10	100	100	1	22	70	1367
4802	2.002	486	100	100	7	22	100	1362
4803	14.001	494	13	100	1	22	100	1362
4804	2.057	10	14	100	1	22	100	1362
4805	14.001	460	100	100	1	22	100	1362
4806	2.002	487	100	1	1	10	100	4758
4807	14.001	499	14	100	1	22	100	1362
6838	13.001	122	1	100	7	6	100	1340
4808	14.001	503	3	1	1	49	100	3456
4809	14.001	503	14	1	1	49	100	3456
4810	2.001	466	100	100	7	22	100	4825
4811	14.001	10	100	1	1	49	65	1054
4812	222.001	332	3	1	1	22	100	6366
4813	14.001	468	19	100	7	49	100	Ungroupable
4814	14.001	474	100	100	1	22	100	1362
4815	14.001	10	100	100	1	49	65	1362
4816	19.001	493	100	1	1	49	100	1054
4817	22.001	469	100	1	1	49	100	1054
4818	14.001	504	3	1	1	49	100	3456
4819	2.001	10	1	1	100	2	100	442
4820	5.002	15	1	100	100	7	6	1061
4821	14.001	10	6	100	100	1	100	42
4822	43.002	521	100	100	7	6	100	1340
4823	19.001	40	1	1	7	3	100	1615
4824	2.001	5	100	100	1	10	100	4713
4825	2.001	10	100	100	1	22	100	1271
4826	9.001	10	100	1	7	49	100	1054
4827	2.001	25	14	1	1	4	100	6802
4828	9.001	163	100	1	1	22	100	1054
4829	14.001	54	100	100	1	22	100	1362
4830	22.001	116	100	1	7	49	100	4718
4831	2.002	18	13	1	1	9	100	4758
4832	238.001	18	14	1	1	3	100	1215
4833	19.001	47	14	1	7	180	100	433
4834	14.001	99	100	100	100	7	100	352
4835	14.001	10	3	100	1	18	100	5508
4836	10.001	142	1	1	7	2	100	Ungroupable
4837	237.001	1	8	1	7	3	100	199
4838	5.002	19	1	1	7	3	100	1615
4839	240.001	15	1	100	100	7	6	1061
4840	34.001	9	1	100	7	26	100	3420
4841	241.001	33	100	1	2	5	100	348
4842	34.007	40	3	100	7	4	100	1124
4843	34.007	122	1	1	7	3	100	1615
4844	34.001	432	1	100	7	3	100	3420
4845	34.007	522	1	100	7	4	100	1124
4846	166.002	523	1	100	7	6	100	1857
4847	242.001	40	1	1	7	3	100	1615
4848	243.001	39	1	100	1	90	1	4848
4849	34.001	435	14	1	1	7	100	1460
4850	17.001	222	14	1	7	3	100	1387
4851	5.002	1	49	1	7	3	100	199
4852	10.001	69	8	1	7	3	100	199
4853	92.001	1	8	1	7	23	100	199
4854	121.001	1	4	1	7	3	100	199
4855	5.002	1	8	1	7	105	100	199
4856	5.004	1	8	1	7	3	100	199
4857	5.002	1	13	1	1	172	100	127
4858	5.002	1	8	1	7	172	2	199
4859	60.001	174	100	100	7	20	100	7319
4860	12.001	10	100	1	1	22	100	1362
4861	9.001	10	100	100	1	49	100	1054
4862	10.001	1	100	1	7	3	100	199
4863	10.001	1	11	1	7	3	100	90
4864	10.001	38	8	1	7	26	100	567
4865	10.001	1	17	1	1	3	100	90
4866	2.001	205	13	100	1	78	100	3574
4867	2.002	89	54	100	7	59	100	719
4868	10.001	38	17	1	7	26	100	309
4869	10.001	10	12	1	7	26	12	2147
4870	10.001	122	1	100	7	6	100	1340
4871	10.001	38	100	1	100	26	100	309
4872	120.001	1	11	1	7	3	2	1709
4873	10.001	38	100	1	7	24	100	309
4874	10.001	38	100	1	7	26	12	309
4875	43.002	122	100	100	7	1	100	1340
4876	2.002	9	13	100	7	4	100	426
4877	10.001	38	12	1	7	26	12	567
4878	60.001	1	100	1	7	3	100	1143
4879	5.002	19	65	1	1	3	100	127
4880	2.001	38	100	100	100	100	100	845
4881	11.001	54	100	100	1	22	100	1271
4882	10.001	38	8	1	7	26	12	2848
4883	2.002	10	13	100	7	3	100	436
4884	2.014	10	14	100	7	20	100	1308
4885	13.001	1	46	1	1	3	100	90
4886	19.001	368	13	100	7	26	100	Ungroupable
4887	12.001	54	12	1	34	4	100	2746
4888	70.001	54	14	100	3	100	100	Ungroupable
4889	10.001	486	100	1	7	26	12	2880
4890	2.002	133	100	100	7	4	100	719
4891	5.002	1	100	1	1	3	12	1340
4892	43.002	122	12	100	7	182	100	1340
4893	60.001	1	8	1	7	3	77	1143
4894	2.001	1	100	100	7	3	2	1660
4895	19.001	533	13	1	7	3	100	1096
4896	3.003	122	8	1	7	3	6	1816
4897	14.001	39	14	100	7	100	100	212
4898	72.002	1	11	1	7	3	100	2431
4899	10.013	1	8	1	1	3	100	127
4900	2.002	532	1	100	7	4	100	427
4901	196.001	437	11	1	23	10	100	4300
4902	72.001	1	11	1	7	3	100	90
4903	60.001	22	8	1	34	93	100	2473
4904	60.001	19	9	1	34	93	100	4903
4905	60.001	1	8	1	34	93	100	2473
4906	60.001	1	11	1	7	53	100	233
4907	2.001	40	100	1	7	3	100	1869
4908	253.001	1	3	100	7	3	100	1660
4909	2.002	54	1	100	7	22	100	5817
4910	10.001	25	1	1	2	5	100	348
4911	14.002	130	1	100	100	7	100	178
4912	5.011	1	8	1	7	3	1	199
4913	34.007	40	11	100	7	4	2	1124
4914	60.001	1	9	1	7	53	100	233
4915	60.001	531	8	1	7	3	100	1143
4916	1.001	10	4	1	100	2	100	4919
4917	1.001	10	5	1	100	2	100	4919
4918	1.001	10	6	1	100	2	100	4919
4919	1.001	10	14	1	100	2	100	7004
4920	1.001	10	100	100	100	100	100	845
4921	1.001	18	4	1	100	2	100	3117
4922	1.002	18	100	100	100	2	100	1958
4923	2.002	5	1	1	100	2	100	442
4924	2.002	5	4	100	100	2	100	1958
4925	2.002	5	8	1	100	2	100	2657
4926	2.002	5	14	100	100	2	100	1958
4927	2.002	5	100	100	100	2	100	1958
4928	2.002	18	1	100	100	2	100	1958
4929	2.002	18	8	1	100	2	100	2657
4930	2.002	19	4	100	100	2	100	3117
4931	14.001	49	13	1	7	183	100	1586
4932	14.001	40	1	1	7	3	100	1615
4933	254.001	39	3	100	100	100	100	213
4934	5.002	122	3	1	7	3	1	2148
4935	1.001	552	4	1	100	2	100	3117
4936	2.002	5	8	100	100	2	100	1958
4937	2.002	19	8	1	100	2	100	2657
4938	2.006	18	14	100	100	7	100	17
4939	2.002	552	8	100	100	2	100	4936
4940	19.001	275	100	100	100	1	100	1645
4941	2.002	19	100	1	100	2	100	1115
4942	2.002	25	14	1	100	2	100	2657
4943	2.002	25	100	1	100	2	100	2148
4944	22.001	18	1	100	100	1	100	239
4945	22.001	10	1	100	100	1	100	239
4946	22.001	18	4	100	100	2	100	1449
4947	22.001	25	100	100	100	2	61	190
4948	22.001	18	14	100	100	1	100	17
4949	22.001	54	14	100	100	1	100	1449
4950	22.001	18	100	100	100	1	100	1645
4951	22.001	552	4	1	100	2	100	1115
4952	22.001	552	5	1	100	2	100	1115
4953	22.001	552	14	1	100	2	100	1115
4954	22.003	54	100	100	100	2	100	1958
4955	22.001	18	5	1	100	2	100	1115
4956	22.001	88	4	1	100	1	100	4963
4957	19.001	19	6	100	100	1	100	1645
4958	19.001	10	4	100	100	1	100	1645
4959	22.001	5	100	100	100	2	100	190
4960	19.001	18	100	100	100	1	100	1645
4961	15.003	10	100	100	100	2	100	1958
4962	2.002	552	1	1	100	2	100	442
4963	22.001	18	4	1	100	2	100	1115
4964	100.001	5	1	100	100	2	100	867
4965	2.002	54	8	1	100	2	100	2657
4966	100.001	18	1	100	100	1	100	17
4967	100.001	552	14	100	100	1	100	17
4968	100.006	48	14	100	100	7	100	288
4969	100.001	552	14	100	6	184	100	Ungroupable
4970	100.017	18	14	100	100	1	100	17
4971	100.017	54	100	100	100	2	100	1958
4972	100.017	552	14	100	100	1	100	17
4973	100.016	89	100	100	100	100	100	845
4974	19.020	18	13	1	100	2	100	7008
4975	5.002	122	1	1	47	100	100	1615
4976	5.002	122	3	100	7	3	100	2148
4977	14.001	39	3	100	100	3	100	2885
4978	43.008	122	1	100	7	6	100	1340
4979	166.001	40	14	100	7	26	100	3333
4980	34.007	305	1	100	7	4	100	1124
4981	14.001	512	100	100	7	7	100	352
4982	3.003	39	100	100	7	100	100	211
4983	34.001	11	100	1	7	15	100	309
4984	13.001	1	100	1	7	3	100	199
4985	255.001	5	14	100	100	2	100	343
4986	2.001	9	11	100	7	3	100	3420
4987	2.002	10	13	1	100	7	100	1128
4988	2.001	1	13	1	1	52	100	409
4989	2.001	22	4	1	1	52	100	2499
4990	2.002	19	8	1	7	23	100	73
4991	2.002	19	8	1	7	39	1	73
4992	2.002	40	17	1	7	3	100	1869
4993	3.001	1	13	1	7	3	100	199
4994	5.002	1	4	1	7	3	1	199
4995	5.002	1	8	1	1	22	100	127
4996	5.002	1	9	1	7	24	100	199
4997	5.002	19	4	1	7	3	100	199
4998	5.002	19	13	1	7	3	100	199
4999	5.002	22	4	1	7	3	100	199
5000	5.002	36	48	1	7	22	100	Ungroupable
5001	5.015	36	8	1	2	24	100	501
5002	9.001	192	8	1	7	40	100	2479
5003	10.001	1	12	1	2	5	100	348
5004	10.001	1	12	1	7	3	100	1143
5005	10.001	1	12	1	7	5	100	1143
5006	10.001	1	13	1	7	5	100	1392
5007	10.001	1	19	1	7	3	100	199
5008	10.001	1	37	1	7	3	100	199
5009	10.001	36	8	1	2	5	100	348
5010	10.003	1	8	1	7	47	100	1118
5011	10.003	1	12	1	56	47	100	1698
5012	10.003	16	8	1	7	47	100	1698
5013	10.003	16	10	1	1	10	100	158
5014	10.003	22	4	1	34	52	100	2499
5015	10.003	524	8	1	7	21	100	221
5016	12.001	1	8	1	7	24	100	199
5017	12.001	22	4	1	34	93	2	2473
5018	12.001	22	8	1	1	93	100	2473
5019	12.001	22	8	1	34	53	100	2473
5020	12.001	22	8	1	34	167	100	2473
5021	12.001	22	8	1	34	169	100	2473
5022	12.001	22	9	1	34	93	100	2473
5023	12.001	22	11	1	34	93	100	2473
5024	12.001	22	14	1	34	93	100	2473
5025	12.001	22	23	1	34	93	100	2473
5026	12.001	22	100	1	34	93	100	2473
5027	12.001	36	8	1	7	24	100	501
5028	13.001	1	4	1	1	22	100	37
5029	13.001	1	12	1	1	3	100	90
5030	13.001	1	13	1	7	3	100	199
5031	13.001	1	63	1	15	39	100	Ungroupable
5032	13.001	1	71	1	7	35	100	2288
5033	13.001	22	8	1	1	22	100	37
5034	13.001	22	12	1	1	9	100	38
5035	13.001	22	12	1	34	93	100	2473
5036	13.001	36	8	1	7	53	100	497
5037	13.001	172	31	1	7	9	100	1011
5038	13.002	1	8	1	7	104	100	199
5039	13.002	1	8	1	34	3	100	199
5040	13.002	1	9	1	7	3	100	199
5041	13.002	1	10	1	7	3	100	199
5042	13.002	1	11	1	55	3	100	1696
5043	13.002	1	37	1	7	3	100	199
5044	13.002	1	48	1	21	3	100	1696
5045	13.002	19	11	1	7	3	100	1696
5046	13.009	19	11	1	1	9	100	38
5047	17.001	1	19	1	1	3	100	90
5048	18.001	1	8	1	21	24	100	428
5049	18.001	1	13	1	7	80	100	428
5050	18.001	16	12	1	7	21	100	346
5051	18.001	19	4	1	7	3	100	428
5052	18.001	19	8	1	7	22	100	428
5053	18.001	19	13	1	7	168	100	1178
5054	18.001	36	1	1	2	24	100	501
5055	18.001	36	4	1	2	24	100	501
5056	18.001	36	8	1	45	24	100	501
5057	18.001	36	14	1	2	24	100	501
5058	18.001	307	3	1	1	3	100	2482
5059	18.005	36	12	1	7	24	100	2465
5060	21.001	1	8	1	34	3	100	199
5061	21.001	19	14	1	7	3	100	1118
5062	22.001	1	4	1	1	3	100	90
5063	27.003	22	11	1	1	52	100	5063
5064	34.007	1	10	100	7	170	100	4463
5065	34.007	40	4	100	7	4	100	1124
5066	34.007	40	8	100	7	4	100	1124
5067	34.007	40	12	100	7	4	100	1124
5068	34.007	40	13	100	38	45	100	4529
5069	34.007	40	17	100	7	4	100	1124
5070	34.007	40	19	100	7	3	100	436
5071	34.007	40	26	100	7	4	100	1124
5072	34.007	40	67	100	7	34	100	1124
5073	34.007	40	100	100	7	25	100	1124
5074	34.012	40	11	100	7	4	100	1124
5075	34.019	1	100	1	7	3	100	199
5076	43.001	1	13	1	21	122	100	3293
5077	43.001	16	13	1	7	6	100	2336
5078	43.002	1	11	1	7	3	100	199
5079	43.002	1	19	1	7	3	100	199
5080	43.002	1	31	1	7	25	1	199
5081	43.002	1	100	1	1	22	100	958
5082	43.002	19	4	1	7	3	100	345
5083	43.004	1	8	1	1	22	100	37
5084	43.004	1	11	1	7	22	100	2288
5085	43.004	1	12	1	1	80	100	127
5086	43.004	1	12	1	7	22	100	1717
5087	43.007	1	11	1	7	3	100	2431
5088	60.001	1	12	1	21	3	100	1143
5089	67.003	1	11	100	7	3	100	1660
5090	103.001	1	8	1	1	165	100	127
5091	103.001	1	8	1	1	166	100	127
5092	103.001	1	10	1	1	3	100	90
5093	103.001	1	12	1	1	3	100	90
5094	120.001	1	19	1	7	3	100	199
5095	120.001	22	8	1	34	93	100	2473
5096	166.001	40	11	100	7	4	100	427
6839	14.001	10	3	100	1	4	100	5508
5099	208.001	1	12	1	7	3	100	1143
5100	209.001	1	12	1	1	24	100	127
5101	210.001	19	8	1	7	3	100	73
5102	211.001	22	4	1	34	93	100	2473
5103	213.001	1	8	1	1	121	100	127
5104	214.001	40	11	100	7	4	100	1124
5107	5.002	305	14	1	7	3	100	1387
5106	12.007	1	1	100	7	3	100	1660
5108	2.001	1	4	1	100	2	100	442
5109	2.001	39	1	100	61	100	1	213
5110	2.002	89	3	100	7	26	100	719
5112	2.002	124	100	1	7	4	6	2538
5116	2.001	1	8	1	5	100	100	409
5117	13.001	1	8	1	1	177	100	127
5119	21.001	1	8	1	1	3	100	127
5120	43.002	19	37	1	7	3	100	345
5121	13.002	16	13	1	7	3	100	1696
5123	5.002	534	8	1	7	3	100	199
5124	103.001	1	8	1	7	3	100	199
5125	13.002	1	100	1	7	3	100	199
5126	21.001	19	9	1	7	3	100	1118
5127	5.019	1	8	1	7	3	100	199
5128	13.001	1	71	1	7	22	100	2288
5129	13.011	19	13	1	1	9	100	38
5130	18.001	33	4	1	7	3	100	428
5131	103.002	1	4	1	7	3	100	199
5132	21.001	19	8	1	7	52	2	1157
5133	85.001	1	8	1	7	15	2	2454
5134	43.002	1	4	1	7	15	100	345
5135	43.002	19	26	1	7	3	100	345
5136	2.002	16	8	1	23	3	100	199
5137	14.001	1	8	1	7	3	100	199
5138	248.001	1	8	1	7	15	2	2454
5139	13.001	1	48	1	7	3	100	199
5140	21.001	113	11	1	7	3	100	1118
5141	2.002	540	100	100	1	34	100	2480
5142	245.001	1	12	1	7	3	100	1143
5143	5.014	1	13	1	7	3	100	199
5144	2.002	19	17	1	7	3	100	73
5145	10.014	33	8	1	2	5	100	348
5146	43.002	1	11	1	1	3	100	90
5147	18.001	453	12	1	7	3	100	428
5148	13.003	25	13	1	2	10	100	2467
5149	103.001	1	21	1	1	3	100	90
5150	43.002	19	37	1	7	3	1	2457
5151	103.001	1	24	1	1	3	100	90
5152	2.042	1	8	1	7	3	100	199
5153	12.001	22	8	1	34	100	100	2473
5154	5.002	1	13	1	7	18	100	199
5156	13.001	542	8	1	34	93	100	2473
5157	13.001	1	71	1	1	3	100	90
5158	21.001	19	11	1	23	23	100	2448
5159	34.007	40	11	100	7	3	100	1124
5160	239.001	25	8	1	2	10	100	2467
5161	34.007	40	8	100	7	25	100	1124
5162	34.007	1	13	1	7	3	100	199
5163	34.007	1	12	1	7	3	100	1143
5164	13.001	1	8	1	7	53	100	199
5165	34.007	40	100	1	34	3	100	3977
5166	17.001	1	13	1	1	3	100	90
5167	77.001	1	8	1	7	15	2	2454
5168	10.001	33	4	1	62	5	100	348
5169	10.003	19	8	1	7	185	100	1011
5170	43.001	1	4	1	7	186	100	514
5171	43.001	1	4	1	7	187	100	514
5172	43.001	1	11	1	1	52	78	509
5173	17.001	1	9	1	7	3	100	199
5174	18.001	553	12	1	7	23	100	Ungroupable
5175	10.001	36	11	1	2	5	100	348
5176	14.001	40	100	1	7	3	100	1869
5177	2.001	39	3	100	7	100	100	213
5178	2.001	39	100	100	100	100	1	213
5179	243.001	39	100	100	1	90	1	4848
5180	228.001	39	1	100	1	90	1	4848
5181	2.001	39	100	100	53	100	100	213
5182	9.001	9	1	100	7	100	100	63
5183	14.001	1	1	1	7	2	100	442
5184	67.003	58	1	1	7	3	100	Ungroupable
5185	5.002	163	11	1	1	3	100	127
5186	34.019	1	26	1	7	3	100	2359
5187	43.002	89	100	100	7	6	100	1340
5188	2.001	122	1	1	7	2	100	1615
5189	2.001	1	100	1	7	4	100	5323
5190	34.007	1	100	100	7	4	100	1124
5191	14.001	10	14	100	1	4	100	1362
5192	2.001	10	14	100	100	2	100	7004
5193	14.001	10	14	100	7	1	100	42
5194	14.001	10	100	1	1	20	100	1054
5195	2.001	10	19	100	7	20	100	5195
5196	2.002	54	3	100	100	2	100	1958
5197	19.001	54	3	1	7	26	100	567
5198	14.001	10	19	100	32	4	100	5508
5199	22.001	69	19	100	7	26	100	Ungroupable
5200	22.001	10	3	100	100	2	100	190
5201	2.001	101	100	1	100	1	100	5208
5202	14.001	54	14	1	100	15	100	Ungroupable
5203	19.001	18	19	1	7	20	100	1643
5204	14.001	10	100	100	100	100	100	352
5205	19.001	18	3	1	7	15	100	309
5206	9.001	69	3	1	1	22	100	958
5207	2.001	10	19	1	7	20	100	7011
5208	2.001	10	100	1	100	1	100	384
5209	19.001	18	100	1	7	2	100	309
5210	19.001	10	3	1	7	55	100	455
5211	2.002	10	14	1	1	89	100	1627
5212	2.002	69	100	100	7	4	100	719
5213	2.002	10	14	1	1	4	100	1627
5214	2.008	54	3	1	100	2	100	1749
5215	1.001	54	19	100	100	7	100	6827
5216	14.001	10	13	100	32	4	100	5508
5217	14.001	10	19	100	1	4	100	5508
5218	2.001	10	19	100	100	100	100	63
5219	2.001	9	13	100	7	3	100	3420
5220	19.001	38	3	1	7	55	100	309
5221	2.001	40	100	100	7	3	100	436
5118	2.001	1	74	100	7	3	100	1660
5222	2.001	361	3	100	100	2	100	520
5223	19.001	38	8	1	7	1	100	1096
5224	19.001	38	4	1	7	3	100	1096
5225	14.001	29	1	100	100	3	100	178
5226	14.001	105	3	100	14	2	100	1021
